"project","method_qual_name","release","loc","cbo","wmc","rfc","lcom","dit","noc","is_long_method","is_god_class"
"BOOKKEEPER","parseDelimitedFrom/1[java.io.InputStream]","4.0.0","9","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getStatusCode/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","getMessage/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseFrom/1[java.io.InputStream]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","hasStatusCode/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","parseFrom/2[byte[],com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","PubSubResponse/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","newBuilder/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","newBuilderForType/0","4.0.0","3","14","61","43","575.0","2","0","0","1"
"BOOKKEEPER","Message/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","getDescriptor/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","getBody/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","hasSrcRegion/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/1[java.io.InputStream]","4.0.0","9","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[java.io.InputStream]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","newBuilder/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","initFields/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","9","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","hasMsgId/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","isInitialized/0","4.0.0","7","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","newBuilder/1[org.apache.hedwig.protocol.PubSubProtocol.Message]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.CodedInputStream]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","getMsgId/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","writeTo/1[com.google.protobuf.CodedOutputStream]","4.0.0","13","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","newBuilderForType/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[byte[]]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","toBuilder/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","getSrcRegion/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","getSerializedSize/0","4.0.0","17","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[byte[],com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.ByteString,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","Message/1[boolean]","4.0.0","2","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","internalGetFieldAccessorTable/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstanceForType/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[java.io.InputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstance/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","hasBody/0","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[com.google.protobuf.ByteString]","4.0.0","3","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","(initializer 4)","4.0.0","5","12","43","27","369.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstanceForType/0","4.0.0","3","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","getSubscriberId/0","4.0.0","3","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","hasSubscriberId/0","4.0.0","3","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","setSubscriberId/1[com.google.protobuf.ByteString]","4.0.0","8","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","Builder/0","4.0.0","2","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","clear/0","4.0.0","7","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","clearSubscriberId/0","4.0.0","5","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","getDescriptorForType/0","4.0.0","3","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","mergeFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]","4.0.0","24","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","mergeFrom/1[com.google.protobuf.Message]","4.0.0","9","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","isInitialized/0","4.0.0","3","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","create/0","4.0.0","5","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","internalGetResult/0","4.0.0","3","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","build/0","4.0.0","6","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","mergeFrom/1[org.apache.hedwig.protocol.PubSubProtocol.UnsubscribeRequest]","4.0.0","8","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","buildPartial/0","4.0.0","8","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","buildParsed/0","4.0.0","6","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","clone/0","4.0.0","3","8","31","21","21.0","1","0","0","0"
"BOOKKEEPER","findValueByNumber/1[int]","4.0.0","3","1","1","1","0.0","1","0","0","0"
"BOOKKEEPER","findValueByNumber/1[int]","4.0.0","3","1","1","1","0.0","1","0","0","0"
"BOOKKEEPER","isInitialized/0","4.0.0","5","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","newBuilder/0","4.0.0","3","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","initFields/0","4.0.0","2","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","newBuilder/1[org.apache.hedwig.protocol.PubSubProtocol.RegionSpecificSeqId]","4.0.0","3","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","RegionSpecificSeqId/0","4.0.0","3","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","RegionSpecificSeqId/1[boolean]","4.0.0","2","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","internalGetFieldAccessorTable/0","4.0.0","3","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","parseDelimitedFrom/1[java.io.InputStream]","4.0.0","9","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","parseFrom/1[java.io.InputStream]","4.0.0","3","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstanceForType/0","4.0.0","3","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","getDefaultInstance/0","4.0.0","3","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","(initializer 5)","4.0.0","5","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","parseFrom/2[com.google.protobuf.ByteString,com.google.protobuf.ExtensionRegistryLite]","4.0.0","3","11","38","23","328.0","2","0","0","0"
"BOOKKEEPER","newBuilderForType/0","4.0.0","3","11","38","23","328.0","2","0","0","0"
